세부사업,예산액,집행액,집행률(%),담당부서,비고
노후 보도 정비사업,1200000000,950000000,79.2,도로과,정상 진행
LED 가로등 교체사업,800000000,760000000,95.0,도로과,집행 완료 단계
어린이보호구역 안전개선,600000000,180000000,30.0,교통과,지연 / 계약 진행 중
무단투기 취약지 CCTV 확충,150000000,145000000,96.7,자원순환과,집행 완료 단계
재활용 분리수거 개선 캠페인,90000000,42000000,46.7,자원순환과,지연 / 계약 진행 중
하천 준설·배수로 정비,2000000000,1840000000,92.0,치수방재과,정상 진행
침수취약지역 즉응장비 비축,300000000,85000000,28.3,치수방재과,지연 / 계약 진행 중
공원 노후 시설물 보수,400000000,210000000,52.5,공원녹지과,지연 / 계약 진행 중
가로수 전정 및 안전점검,120000000,118000000,98.3,공원녹지과,집행 완료 단계
생활악취 저감 시범사업,250000000,90000000,36.0,환경과,지연 / 계약 진행 중
공사장 비산먼지 현장점검 강화,130000000,97000000,74.6,환경과,정상 진행
야간소음 단속 인력 확충,100000000,100000000,100.0,환경과,집행 완료 단계
주민참여형 마을버스 노선조정 연구,110000000,95000000,86.4,교통과,정상 진행
스마트 버스정류장 시범설치,500000000,470000000,94.0,교통과,정상 진행
불법 현수막 정비 캠페인,60000000,35000000,58.3,건설과,지연 / 계약 진행 중
도로 파손 긴급보수 예산,900000000,870000000,96.7,도로과,집행 완료 단계
재난 대비 비상발전기 교체,450000000,440000000,97.8,치수방재과,집행 완료 단계
공원 CCTV 신규 설치,200000000,40000000,20.0,공원녹지과,지연 / 계약 진행 중
생활폐기물 수거차량 교체,550000000,540000000,98.2,자원순환과,집행 완료 단계
하수 악취저감 설비 개선,320000000,275000000,85.9,환경과,정상 진행
보행약자 안전 보행환경 조성,250000000,60000000,24.0,도로과,지연 / 계약 진행 중
노후 공원 놀이시설 교체,300000000,290000000,96.7,공원녹지과,집행 완료 단계
생활민원 신속처리 전담반 운영,150000000,149000000,99.3,민원소통담당관,집행 완료 단계
청년 주거환경 점검 시범,180000000,40000000,22.2,도시재생과,지연 / 계약 진행 중
지역상권 활성화 가로환경 개선,420000000,315000000,75.0,도시재생과,정상 진행
